track_id,start_frame,end_frame,frames_seen,mean_net_intensity,max_net_intensity,dominant_class
41,0.0,19.0,16,42.493750000000006,50.19999999999999,low
42,0.0,53.0,49,41.94285714285715,54.19999999999999,low
43,0.0,45.0,41,45.921951219512195,55.400000000000006,medium
44,0.0,53.0,48,41.67708333333334,52.19999999999999,low
45,0.0,54.0,54,48.814814814814824,66.69999999999999,medium
46,0.0,88.0,82,48.30731707317074,69.70000000000005,medium
47,0.0,86.0,82,47.06219512195123,69.0,medium
48,0.0,43.0,30,41.226666666666674,59.60000000000002,low
49,0.0,12.0,11,44.436363636363645,59.0,low
50,0.0,88.0,73,44.79041095890411,60.5,medium
51,0.0,16.0,15,38.09333333333334,48.10000000000002,low
52,0.0,39.0,40,46.11,64.0,medium
53,0.0,88.0,89,82.41348314606743,105.4,high
54,0.0,20.0,14,42.20714285714286,49.0,low
55,0.0,57.0,52,47.68846153846154,74.80000000000001,medium
56,0.0,53.0,54,72.95925925925927,90.19999999999999,high
57,0.0,1.0,2,37.25,44.69999999999999,low
58,0.0,8.0,6,51.583333333333336,57.60000000000002,medium
59,0.0,33.0,32,48.809375,60.400000000000006,medium
60,0.0,12.0,12,93.30000000000001,116.40000000000003,high
61,0.0,56.0,55,66.96363636363638,81.4,high
62,0.0,59.0,50,56.288000000000004,70.40000000000003,high
63,0.0,70.0,64,50.103125000000006,69.19999999999999,high
64,0.0,73.0,49,47.51224489795919,64.19999999999999,medium
65,0.0,77.0,66,40.00303030303031,52.80000000000001,low
66,0.0,52.0,53,75.48867924528302,99.0,high
67,0.0,7.0,8,42.575,55.0,low
68,0.0,4.0,4,98.5,105.0,high
69,0.0,11.0,6,63.58333333333335,72.4,high
70,0.0,46.0,47,55.14255319148937,74.40000000000003,high
71,0.0,79.0,73,47.2082191780822,68.60000000000002,medium
72,0.0,21.0,19,89.11052631578949,105.4,high
73,0.0,88.0,88,54.43409090909092,74.19999999999999,high
74,0.0,88.0,70,50.984285714285726,91.4,medium
75,0.0,31.0,32,49.31875000000001,68.60000000000002,medium
76,0.0,29.0,26,39.80384615384616,48.0,low
77,0.0,46.0,37,43.79189189189189,58.20000000000002,low
78,0.0,53.0,54,77.33888888888889,104.19999999999999,high
79,0.0,40.0,33,56.06666666666668,69.60000000000002,high
80,0.0,34.0,33,59.539393939393946,75.0,high
81,0.0,26.0,27,87.9740740740741,126.80000000000001,high
82,0.0,31.0,25,47.284000000000006,61.10000000000002,medium
83,0.0,32.0,31,45.37741935483872,58.19999999999999,medium
84,0.0,9.0,10,54.35,65.10000000000002,high
85,0.0,2.0,2,37.95,39.400000000000006,low
86,0.0,5.0,6,60.78333333333334,82.60000000000002,high
87,1.0,1.0,1,37.400000000000006,37.400000000000006,low
88,1.0,1.0,1,41.19999999999999,41.19999999999999,low
89,1.0,2.0,2,38.90000000000002,42.400000000000006,low
90,1.0,1.0,1,48.5,48.5,medium
91,1.0,2.0,2,42.0,43.80000000000001,low
92,1.0,14.0,8,46.1625,53.80000000000001,medium
93,1.0,55.0,40,40.345000000000006,55.19999999999999,low
94,1.0,1.0,1,42.400000000000006,42.400000000000006,low
95,1.0,64.0,58,46.34137931034484,57.0,medium
96,1.0,4.0,3,39.66666666666668,42.0,low
97,1.0,12.0,7,45.61428571428572,52.400000000000034,medium
98,1.0,2.0,2,37.8,42.19999999999999,low
99,1.0,87.0,72,81.02222222222223,114.4,high
100,1.0,21.0,9,52.844444444444456,70.0,high
101,1.0,5.0,3,43.46666666666667,48.19999999999999,medium
102,1.0,3.0,3,42.00000000000001,48.0,low
103,1.0,1.0,1,37.0,37.0,low
104,2.0,3.0,2,36.60000000000001,37.400000000000006,low
105,2.0,12.0,8,41.625,49.0,low
106,2.0,74.0,62,49.808064516129036,62.60000000000002,medium
107,2.0,43.0,29,39.337931034482764,48.0,low
108,2.0,87.0,58,59.75344827586208,78.4,high
109,2.0,27.0,19,39.04736842105264,47.400000000000006,low
