small_sigma,big_sigma,threshold_abs,min_distance,min_net_intensity_p90,min_net_intensity_mean,precision,recall,f1,tp,fp,fn,count_mae,annotated_frames,balanced_score
1.2,7.0,18.0,4,33.0,11.0,0.9240963855421687,0.8336956521739131,0.8765714285714287,767,63,153,10.6,10,0.8659714285714286
1.2,11.0,20.5,4,33.0,11.0,0.9565772669220945,0.8141304347826087,0.8796241926012919,749,34,171,13.7,10,0.8659241926012918
1.2,7.0,18.0,4,30.0,10.0,0.8925339366515838,0.8576086956521739,0.8747228381374723,789,95,131,8.8,10,0.8659228381374723
1.2,11.0,19.5,5,32.0,11.0,0.9381188118811881,0.8239130434782609,0.8773148148148149,758,50,162,11.4,10,0.8659148148148149
1.2,9.0,18.0,4,32.0,11.0,0.9157769869513642,0.8391304347826087,0.8757799205899036,772,71,148,9.9,10,0.8658799205899036
1.2,11.0,20.5,5,32.0,9.0,0.9217809867629362,0.8326086956521739,0.8749286122215877,766,65,154,9.1,10,0.8658286122215877
1.2,11.0,20.0,5,31.0,10.0,0.9228915662650602,0.8326086956521739,0.8754285714285713,766,64,154,9.6,10,0.8658285714285713
1.2,11.0,20.0,5,32.0,10.0,0.9228915662650602,0.8326086956521739,0.8754285714285713,766,64,154,9.6,10,0.8658285714285713
1.2,7.0,18.0,6,30.0,10.0,0.8934240362811792,0.8565217391304348,0.874583795782464,788,94,132,8.8,10,0.865783795782464
1.2,11.0,21.0,4,33.0,10.0,0.9518377693282636,0.816304347826087,0.8788765359859567,751,38,169,13.1,10,0.8657765359859567
1.2,9.0,19.5,5,33.0,10.0,0.920863309352518,0.8347826086956521,0.8757126567844925,768,66,152,10.0,10,0.8657126567844925
1.2,9.0,20.0,5,33.0,11.0,0.9494949494949495,0.8173913043478261,0.8785046728971964,752,40,168,12.8,10,0.8657046728971963
1.2,11.0,21.0,5,30.0,10.0,0.9494949494949495,0.8173913043478261,0.8785046728971964,752,40,168,12.8,10,0.8657046728971963
1.2,7.0,18.0,4,31.0,11.0,0.9198564593301436,0.8358695652173913,0.8758542141230069,769,67,151,10.2,10,0.8656542141230069
1.2,9.0,19.5,4,33.0,11.0,0.9414694894146949,0.8217391304347826,0.877539175856065,756,47,164,11.9,10,0.865639175856065
1.2,11.0,20.5,6,31.0,11.0,0.9577464788732394,0.8130434782608695,0.8794826572604348,748,33,172,13.9,10,0.8655826572604348
1.2,11.0,20.5,6,32.0,11.0,0.9577464788732394,0.8130434782608695,0.8794826572604348,748,33,172,13.9,10,0.8655826572604348
1.2,7.0,19.5,6,24.0,11.0,0.9448621553884712,0.8195652173913044,0.8777648428405124,754,44,166,12.2,10,0.8655648428405124
1.2,7.0,19.5,6,26.0,11.0,0.9448621553884712,0.8195652173913044,0.8777648428405124,754,44,166,12.2,10,0.8655648428405124
1.2,7.0,19.5,6,28.0,11.0,0.9448621553884712,0.8195652173913044,0.8777648428405124,754,44,166,12.2,10,0.8655648428405124
1.2,9.0,20.0,5,24.0,11.0,0.9448621553884712,0.8195652173913044,0.8777648428405124,754,44,166,12.2,10,0.8655648428405124
1.2,9.0,20.0,5,26.0,11.0,0.9448621553884712,0.8195652173913044,0.8777648428405124,754,44,166,12.2,10,0.8655648428405124
1.2,9.0,20.0,5,28.0,11.0,0.9448621553884712,0.8195652173913044,0.8777648428405124,754,44,166,12.2,10,0.8655648428405124
1.2,7.0,20.0,5,33.0,11.0,0.9553571428571429,0.8141304347826087,0.8791079812206574,749,35,171,13.6,10,0.8655079812206574
1.2,7.0,20.0,6,31.0,11.0,0.9553571428571429,0.8141304347826087,0.8791079812206574,749,35,171,13.6,10,0.8655079812206574
1.2,7.0,20.0,6,32.0,11.0,0.9553571428571429,0.8141304347826087,0.8791079812206574,749,35,171,13.6,10,0.8655079812206574
1.2,11.0,19.5,5,31.0,11.0,0.9369592088998764,0.8239130434782609,0.8768074031231926,758,51,162,11.3,10,0.8655074031231926
1.2,11.0,18.0,4,30.0,11.0,0.9136094674556213,0.8391304347826087,0.874787535410765,772,73,148,9.3,10,0.8654875354107651
1.2,9.0,18.0,4,31.0,11.0,0.9146919431279621,0.8391304347826087,0.8752834467120182,772,72,148,9.8,10,0.8654834467120182
1.2,7.0,20.0,4,30.0,11.0,0.9529860228716646,0.8152173913043478,0.8787346221441125,750,37,170,13.3,10,0.8654346221441125
1.2,9.0,20.5,4,29.0,11.0,0.9529860228716646,0.8152173913043478,0.8787346221441125,750,37,170,13.3,10,0.8654346221441125
1.2,11.0,21.0,6,33.0,10.0,0.9529860228716646,0.8152173913043478,0.8787346221441125,750,37,170,13.3,10,0.8654346221441125
1.2,7.0,19.5,5,33.0,10.0,0.9282238442822385,0.8293478260869566,0.876004592422503,763,59,157,10.6,10,0.8654045924225029
1.2,9.0,18.0,6,30.0,11.0,0.9156769596199525,0.8380434782608696,0.8751418842224744,771,71,149,9.8,10,0.8653418842224744
1.2,11.0,18.0,5,33.0,11.0,0.9197604790419162,0.8347826086956521,0.8752136752136751,768,67,152,9.9,10,0.8653136752136751
1.2,7.0,20.0,5,33.0,10.0,0.9358024691358025,0.8239130434782609,0.876300578034682,758,52,162,11.0,10,0.865300578034682
1.2,7.0,20.0,6,31.0,10.0,0.9358024691358025,0.8239130434782609,0.876300578034682,758,52,162,11.0,10,0.865300578034682
1.2,7.0,20.0,6,32.0,10.0,0.9358024691358025,0.8239130434782609,0.876300578034682,758,52,162,11.0,10,0.865300578034682
1.2,11.0,21.0,5,29.0,10.0,0.9482976040353089,0.8173913043478261,0.8779918272037361,752,41,168,12.7,10,0.8652918272037361
1.2,11.0,20.5,5,30.0,10.0,0.933579335793358,0.825,0.875937680323139,759,54,161,10.7,10,0.865237680323139
1.2,9.0,18.0,4,29.0,11.0,0.9126328217237308,0.8402173913043478,0.874929258630447,773,74,147,9.7,10,0.865229258630447
1.2,9.0,20.0,4,30.0,11.0,0.9459798994974874,0.8184782608695652,0.8776223776223776,753,43,167,12.4,10,0.8652223776223776
1.2,9.0,19.5,5,30.0,11.0,0.9380421313506815,0.8228260869565217,0.8766647365373479,757,50,163,11.5,10,0.8651647365373479
1.2,7.0,19.5,4,29.0,11.0,0.9436795994993742,0.8195652173913044,0.8772542175683538,754,45,166,12.1,10,0.8651542175683538
1.2,11.0,18.0,4,32.0,11.0,0.9145907473309609,0.8380434782608696,0.8746454906409529,771,72,149,9.5,10,0.8651454906409529
1.2,11.0,20.5,6,32.0,9.0,0.9238210399032648,0.8304347826086956,0.8746422438465942,764,63,156,9.5,10,0.8651422438465942
1.2,11.0,21.0,6,31.0,8.0,0.9291819291819292,0.8271739130434783,0.875215641173088,761,58,159,10.1,10,0.865115641173088
1.2,9.0,20.5,5,30.0,11.0,0.954140127388535,0.8141304347826087,0.878592375366569,749,36,171,13.5,10,0.865092375366569
1.2,9.0,20.5,6,29.0,11.0,0.954140127388535,0.8141304347826087,0.878592375366569,749,36,171,13.5,10,0.865092375366569
1.2,11.0,20.5,6,24.0,11.0,0.954140127388535,0.8141304347826087,0.878592375366569,749,36,171,13.5,10,0.865092375366569
1.2,11.0,20.5,6,26.0,11.0,0.954140127388535,0.8141304347826087,0.878592375366569,749,36,171,13.5,10,0.865092375366569
1.2,11.0,20.5,6,28.0,11.0,0.954140127388535,0.8141304347826087,0.878592375366569,749,36,171,13.5,10,0.865092375366569
1.2,11.0,20.5,6,33.0,10.0,0.9391304347826087,0.8217391304347826,0.8765217391304349,756,49,164,11.5,10,0.8650217391304349
1.2,9.0,20.5,4,24.0,11.0,0.9517766497461929,0.8152173913043478,0.8782201405152225,750,38,170,13.2,10,0.8650201405152225
1.2,9.0,20.5,4,26.0,11.0,0.9517766497461929,0.8152173913043478,0.8782201405152225,750,38,170,13.2,10,0.8650201405152225
1.2,9.0,20.5,4,28.0,11.0,0.9517766497461929,0.8152173913043478,0.8782201405152225,750,38,170,13.2,10,0.8650201405152225
1.2,9.0,18.0,6,32.0,11.0,0.9166666666666666,0.8369565217391305,0.875,770,70,150,10.0,10,0.865
1.2,7.0,18.0,5,29.0,10.0,0.8905191873589164,0.8576086956521739,0.8737541528239203,789,97,131,8.8,10,0.8649541528239203
1.2,11.0,20.5,4,31.0,10.0,0.9346485819975339,0.8239130434782609,0.87579433853264,758,53,162,10.9,10,0.86489433853264
