track_id,start_frame,end_frame,frames_seen,mean_net_intensity,max_net_intensity,dominant_class
51,0.0,0.0,1,33.80000000000001,33.80000000000001,low
52,0.0,73.0,63,45.29047619047619,60.5,medium
53,0.0,4.0,3,37.6,40.0,low
54,0.0,16.0,13,38.64615384615385,48.10000000000002,low
55,0.0,39.0,40,46.1475,64.0,medium
56,0.0,88.0,89,82.41348314606743,105.4,high
57,0.0,20.0,15,41.66666666666667,49.0,low
58,0.0,87.0,69,51.52028985507247,79.40000000000003,medium
59,0.0,0.0,1,45.400000000000006,45.400000000000006,medium
60,0.0,53.0,54,72.95925925925927,90.19999999999999,high
61,0.0,86.0,75,45.674666666666674,57.19999999999999,medium
62,0.0,65.0,63,50.11111111111112,62.60000000000002,medium
63,0.0,79.0,74,46.754054054054066,60.400000000000006,medium
64,0.0,12.0,13,95.30769230769232,119.40000000000003,high
65,0.0,41.0,41,67.97073170731709,81.4,high
66,0.0,60.0,52,56.04423076923077,70.40000000000003,high
67,0.0,87.0,81,48.35925925925926,72.4,medium
68,0.0,87.0,73,46.678082191780824,64.19999999999999,medium
69,0.0,77.0,66,40.21060606060607,52.80000000000001,low
70,0.0,57.0,56,75.02142857142859,99.0,high
71,0.0,9.0,10,40.92,55.0,low
72,0.0,88.0,73,83.91917808219179,114.4,high
73,0.0,85.0,86,60.70116279069768,78.4,high
74,0.0,88.0,89,56.0988764044944,95.0,high
75,0.0,28.0,20,39.35,47.400000000000006,low
76,0.0,79.0,71,47.44788732394367,68.60000000000002,medium
77,0.0,21.0,19,89.11052631578949,105.4,high
78,0.0,3.0,2,56.3,62.400000000000006,high
79,0.0,88.0,64,49.80000000000001,91.0,medium
80,0.0,31.0,32,49.31875000000001,68.60000000000002,medium
81,0.0,63.0,45,39.786666666666676,51.0,low
82,0.0,76.0,56,43.67142857142858,58.20000000000002,low
83,0.0,48.0,48,77.99791666666668,104.19999999999999,high
84,0.0,54.0,55,54.37454545454546,70.0,high
85,0.0,21.0,22,58.86818181818183,73.80000000000001,high
86,0.0,26.0,27,87.9814814814815,126.80000000000001,high
87,0.0,31.0,30,47.28333333333334,61.10000000000002,medium
88,0.0,32.0,31,45.393548387096786,58.19999999999999,medium
89,0.0,12.0,13,53.56923076923078,65.10000000000002,high
90,0.0,0.0,1,39.400000000000006,39.400000000000006,low
91,0.0,6.0,7,57.51428571428572,82.60000000000002,high
92,1.0,7.0,6,43.45000000000001,49.19999999999999,low
93,1.0,1.0,1,50.60000000000002,50.60000000000002,medium
94,1.0,1.0,1,41.19999999999999,41.19999999999999,low
95,1.0,1.0,1,54.400000000000006,54.400000000000006,high
96,1.0,3.0,3,40.13333333333333,43.80000000000001,low
97,1.0,1.0,1,42.60000000000002,42.60000000000002,low
98,1.0,1.0,1,34.19999999999999,34.19999999999999,low
99,1.0,35.0,21,41.36666666666667,53.80000000000001,low
100,1.0,1.0,1,42.400000000000006,42.400000000000006,low
101,1.0,4.0,3,39.66666666666668,42.0,low
102,1.0,3.0,3,48.00000000000002,54.0,high
103,1.0,1.0,1,42.19999999999999,42.19999999999999,low
104,1.0,88.0,85,54.40117647058824,74.19999999999999,high
105,1.0,3.0,3,42.00000000000001,48.0,low
106,2.0,44.0,37,43.25945945945947,55.19999999999999,low
107,2.0,2.0,1,39.60000000000002,39.60000000000002,low
108,2.0,2.0,1,31.80000000000004,31.80000000000004,low
